date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:10	170603/170603	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2017:37:35%20GMT	https://www.microsoft.com/onerfstatics/marketingsites-neu-prod/west-european/shell/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chrome/79-4cdd0a/33-ae3d41/a5-4bf7a2/13-8e1ceb/81-32f0c0/5c-b7b685/b8-7ddb61/ef-a24652?ver=2.0&_cf=02242021_3231	C:/My%20Web%20Sites/microsoft/www.microsoft.com/onerfstatics/marketingsites-neu-prod/west-european/shell/_scrf/css/themes=default.device=uplevel_web_pc_webkit_chr/79-4cdd0a/33-ae3d41/a5-4bf7a2/13-8e1ceb/81-32f0c0/5c-b/ef-a24652.c2f21.delaye	(from https://www.microsoft.com/pt-pt/)
00:32:10	1531/1531	---M-Z	200	added ('OK')	text/css	etag:0x8D6EEC3A2D67C35	https://statics-marketingsites-neu-ms-com.akamaized.net/statics/override.css	C:/My%20Web%20Sites/microsoft/statics-marketingsites-neu-ms-com.akamaized.net/statics/override.css	(from https://www.microsoft.com/pt-pt/)
00:32:10	168/168	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:20%20GMT	https://www.microsoft.com/microsoft-365	C:/My%20Web%20Sites/microsoft/www.microsoft.com/microsoft-365	(from https://www.microsoft.com/pt-pt/)
00:32:11	207874/207874	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:21%20GMT	https://www.microsoft.com/pt-pt/microsoft-365?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/microsoft-36553a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:11	190/190	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:21%20GMT	https://www.microsoft.com/microsoft-teams/group-chat-software	C:/My%20Web%20Sites/microsoft/www.microsoft.com/microsoft-teams/group-chat-software	(from https://www.microsoft.com/pt-pt/)
00:32:13	168092/168092	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:22%20GMT	https://www.microsoft.com/pt-pt/microsoft-teams/group-chat-software?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/microsoft-teams/group-chat-software53a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2000:32:23%20GMT	https://www.microsoft.com/surface	C:/My%20Web%20Sites/microsoft/www.microsoft.com/surface	(from https://www.microsoft.com/pt-pt/)
00:32:14	198668/198668	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:23%20GMT	https://www.microsoft.com/en-us/surface	C:/My%20Web%20Sites/microsoft/www.microsoft.com/en-us/surface.html	(from https://www.microsoft.com/pt-pt/)
00:32:14	127924/127924	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:24%20GMT	https://www.microsoft.com/pt-pt/windows/	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/windows/index.html	(from https://www.microsoft.com/pt-pt/)
00:32:17	403626/403626	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:26%20GMT	https://www.microsoft.com/pt-pt/store/b/sale?icid=TopNavDealsSale	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/b/salec8fe.html	(from https://www.microsoft.com/pt-pt/)
